identity,radius,detection_rate,recognition_rate
0,0.0,1.0,1.0
0,0.1,1.0,1.0
0,0.5,1.0,1.0
0,1.0,1.0,1.0
0,2.0,1.0,1.0
0,3.0,1.0,0.95
0,4.0,1.0,0.95
0,5.0,1.0,0.6
1,0.0,1.0,1.0
1,0.1,1.0,1.0
1,0.5,1.0,1.0
1,1.0,1.0,1.0
1,2.0,1.0,0.75
1,3.0,1.0,0.55
1,4.0,1.0,0.55
1,5.0,1.0,0.25
2,0.0,1.0,1.0
2,0.1,1.0,1.0
2,0.5,1.0,1.0
2,1.0,1.0,1.0
2,2.0,1.0,0.8
2,3.0,1.0,0.55
2,4.0,1.0,0.45
2,5.0,1.0,0.1
3,0.0,1.0,1.0
3,0.1,1.0,1.0
3,0.5,1.0,1.0
3,1.0,1.0,1.0
3,2.0,1.0,0.9
3,3.0,1.0,0.45
3,4.0,1.0,0.1
3,5.0,1.0,0.1
4,0.0,1.0,1.0
4,0.1,1.0,1.0
4,0.5,1.0,1.0
4,1.0,1.0,0.9
4,2.0,1.0,0.65
4,3.0,1.0,0.55
4,4.0,1.0,0.5
4,5.0,1.0,0.2
